feature,weight
credentials,0.06791886369331973
check,0.06481732681793424
secure auth,0.06481732681793424
com,0.06481732681793424
auth check,0.06481732681793424
https secure,0.06481732681793424
check com,0.06481732681793424
secure,0.06481732681793424
auth,0.06481732681793424
and,0.06476175812927666
detected,0.06355212105009918
buy,0.0605499014466789
noon,0.0605499014466789
cards before,0.0605499014466789
cards,0.0605499014466789
before noon,0.0605499014466789
keep,0.0605499014466789
codes keep,0.0605499014466789
urgent task,0.0605499014466789
confidential,0.0605499014466789
